,Player,Pick,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player,Bust
0,Tim Pickett,44,SG,tim-pickett,2004,-1.309528422,0.00086899,0.038588546,0.308918995,0.651623469
1,Chris Paul,4,PG,chris-paul,2005,1.516427425,0.163318627,0.48997168,0.09913282400000001,0.24757686899999998
2,Brandon Bass,33,PF,brandon-bass,2005,-0.196150629,0.010712641,0.282192702,0.35684566100000004,0.350248995
3,Emeka Okafor,2,PF,emeka-okafor,2004,0.38286378200000004,0.05950957,0.454024052,0.155522628,0.33094375
4,Raymond Felton,5,PG,raymond-felton,2005,0.329183515,0.050032359000000005,0.3878886,0.18746655899999998,0.374612483
5,Sean May,13,PF,sean-may,2005,-0.242284638,0.023464762000000004,0.23811337600000002,0.40101473299999996,0.33740713
6,Adam Morrison,3,SF,adam-morrison,2006,-0.627188565,0.017599666,0.13475722099999998,0.5040972810000001,0.34354583200000005
7,Ryan Hollins,50,C,ryan-hollins,2006,-1.1403271959999999,0.0,0.046265129,0.404903695,0.548831176
8,Samuel Dalembert,26,C,samuel-dalembert,2001,-0.586307794,0.0040210509999999994,0.184769638,0.397884609,0.41332470200000004
9,Damone Brown,36,SF,damone-brown,2001,-1.259392873,0.0,0.043803137,0.335952559,0.620244304
10,Alvin Jones,56,C,alvin-jones,2001,-1.088554185,0.00069446,0.062898088,0.38290733200000004,0.553500119
11,Sam Clancy,44,PF,sam-clancy,2002,-1.321624095,0.001197723,0.041680308,0.28617657,0.6709454
12,Andre Iguodala,9,SG,andre-iguodala,2004,0.723507888,0.115662675,0.405836971,0.160668426,0.317831928
13,Thaddeus Young,12,SF,thaddeus-young,2007,0.23558509,0.057339574000000004,0.39845339799999996,0.210754986,0.333452042
14,Daequan Cook,21,SG,daequan-cook,2007,-0.501947414,0.010837887,0.174134791,0.45177595600000003,0.363251366
15,JaJuan Johnson,27,PF,jajuan-johnson,2011,-1.21498146,0.000672015,0.070353094,0.29134657399999997,0.637628317
16,Jordan Williams,36,C,jordan-williams,2011,-0.44607608,0.005932099000000001,0.19495390899999998,0.358490947,0.440623045
17,Mason Plumlee,22,C,mason-plumlee,2013,-0.700841167,0.001170008,0.172470295,0.37957076799999995,0.446788929
18,Chris McCullough,29,PF,chris-mccullough,2015,-0.630996181,0.006566666999999999,0.19213333300000002,0.2932,0.5081
19,Pat Connaughton,41,SF,pat-connaughton,2015,-0.8337818709999999,0.000664804,0.08891347,0.432599715,0.47782201
20,Shane Battier,6,SF,shane-battier,2001,1.776771289,0.06667887,0.655715297,0.11622211800000001,0.161383714
21,Jamaal Tinsley,27,PG,jamaal-tinsley,2001,0.46812575,0.071168193,0.408753446,0.166773082,0.35330527899999997
22,Will Solomon,32,PG,will-solomon,2001,-1.301901339,0.0,0.025062692,0.342152068,0.63278524
23,Travis Hansen,37,SG,travis-hansen,2003,-1.355053967,0.000528736,0.022118081,0.328288245,0.649064938
24,Josh Childress,6,SF,josh-childress,2004,-0.102792004,0.019395903,0.29856797,0.326055739,0.355980388
25,Josh Smith,17,C,9-josh-smith,2015,-1.192473127,0.0,0.026755605,0.382057886,0.591186509
26,Royal Ivey,37,SG,royal-ivey,2004,-1.030784037,0.0,0.066388223,0.47813641799999995,0.45547535899999997
27,Marvin Williams,2,SF,24-marvin-williams,2005,0.971451805,0.10961904800000001,0.464428571,0.176428571,0.24952381
28,Salim Stoudamire,31,SG,salim-stoudamire,2005,-1.22338789,0.0,0.036843845,0.36673100399999997,0.596425151
29,Shelden Williams,5,PF,shelden-williams,2006,-0.8299575159999999,0.001680307,0.141285663,0.39410596200000003,0.46292806799999997
30,Solomon Jones,33,C,solomon-jones,2006,-1.3584936140000001,0.0,0.033607648999999996,0.277170314,0.6892220370000001
31,Al Horford,3,PF,al-horford,2007,0.707756205,0.088973525,0.440303555,0.19413306,0.27658986
32,Kirk Haston,16,PF,kirk-haston,2001,-1.25149325,0.0020860889999999997,0.039628914,0.327626686,0.630658311
33,David West,18,PF,david-west,2003,-0.41960310100000003,0.005991156,0.286473415,0.251416987,0.456118442
34,Draymond Green,35,SF,draymond-green,2012,-0.556659557,0.0024765489999999998,0.169968738,0.421028206,0.40652650700000004
35,Harrison Barnes,7,SF,harrison-barnes,2012,0.220673597,0.06666784099999999,0.35843417899999996,0.200094882,0.37480309799999995
